rank,name,net_worth,age,title,source_of_wealth,self_made_score,philantrophy_score,residence,marital_status,children,education
1,Elon Musk,$251 B,51,"CEO, Tesla","Tesla, SpaceX, Self Made",8,1,"Austin, Texas",Single,10,"Bachelor of Arts/Science, University of Pennsylvania"
2,Jeff Bezos,$151 B,58,"Chairman and Founder, Amazon","Amazon, Self Made",8,2,"Medina, Washington",In Relationship,4,"Bachelor of Arts/Science, Princeton University"
3,Bill Gates,$106 B,66,"Cochair, Bill & Melinda Gates Foundation","Microsoft, Self Made",8,5,"Medina, Washington",Divorced,3,"Drop Out, Harvard University"
4,Larry Ellison,$101 B,78,"CTO and Founder, Oracle","software, Self Made",9,1,"Lanai, Hawaii",In Relationship,4,"Drop Out, University of Chicago; Drop Out, University of Illinois, Urbana-Champaign"
5,Warren Buffett,$97 B,92,"CEO, Berkshire Hathaway","Berkshire Hathaway, Self Made",8,5,"Omaha, Nebraska","Widowed, Remarried",3,"Master of Science, Columbia University; Bachelor of Arts/Science, University of Nebraska Lincoln"
6,Larry Page,$93 B,49,"Cofounder and board member, Google","Google, Self Made",8,1,"Palo Alto, California",Married,1,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Michigan"
7,Sergey Brin,$89 B,49,"Cofounder and board member, Google","Google, Self Made",9,2,"Los Altos, California",Separated,3,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Maryland, College Park"
8,Steve Ballmer,$83 B,66,"Owner, Los Angeles Clippers","Microsoft, Self Made",6,2,"Hunts Point, Washington",Married,3,"Bachelor of Arts/Science, Harvard University; Drop Out, Stanford University"
9,Michael Bloomberg,$76.8 B,80,"CEO, Bloomberg L.P.","Bloomberg LP, Self Made",8,4,"New York, New York",In Relationship,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Johns Hopkins University"
10,Jim Walton,$57.9 B,74,"Chairman and CEO, Arvest Bank Group, Inc.",Walmart,2,1,"Bentonville, Arkansas",Married,4,"Bachelor of Arts/Science, University of Arkansas"
